[CEL]
Version=3

[HEADER]
Cols=1164
Rows=1164
TotalX=1164
TotalY=1164
OffsetX=0
OffsetY=0
GridCornerUL=277 221
GridCornerUR=8467 275
GridCornerLR=8406 8468
GridCornerLL=217 8414
Axis-invertX=0
AxisInvertY=0
swapXY=0
DatHeader=[11..65534]  25848_Y1_Notreatment_SPR700_HGU133P:CLS=8676 RWS=8676 XIN=1  YIN=1  VE=0         0   08/26/09 14:00:26 50207420  M10      HG-U133_Plus_2.1sq          570  25443.642578  3.500000  1.5625  6
Algorithm=Percentile
AlgorithmParameters=Percentile:75;CellMargin:2;OutlierHigh:1.500000;OutlierLow:1.004000;FeatureExtraction:TRUE;IgnoreShiftRowOutliers:FALSE;FixedCellSize:TRUE;UseSubgrids:FALSE;RandomizePixels:FALSE;ErrorBasis:StdvMean;PercentileSpread:15.000000;StdMult:1.000000;ExtendPoolWidth:2;ExtendPoolHeight:2;OutlierRatioLowPercentile:55;OutlierRatioHighPercentile:75;HalfCellRowsDivisor:5;HalfCellRowsRemainder:4;CellIntensityCalculationType:Percentile;featureRows:1164;featureColumns:1164;featureWidth:11.000000;featureHeight:11.000000;FullFeatureWidth:7;FullFeatureHeight:7

[INTENSITY]
NumberCells=1354896
CellHeader=X	Y	MEAN	STDV	NPIXELS
220	  0	18237.0	1482.5	 25
221	  0	276.0	43.3	 25
222	  0	18377.0	1645.7	 25
223	  0	249.0	31.2	 25
224	  0	18364.0	1795.2	 25
225	  0	276.0	41.2	 25
226	  0	18570.0	1389.1	 25
227	  0	269.0	69.2	 25
228	  0	18415.0	1263.9	 25
229	  0	278.0	59.8	 25
230	  0	18550.0	1706.7	 25
231	  0	247.0	73.9	 25
232	  0	18259.0	2059.7	 25
233	  0	251.0	87.3	 25
234	  0	18425.0	2601.1	 25
235	  0	274.0	102.2	 25
236	  0	18544.0	2204.5	 25
237	  0	254.0	69.1	 25
238	  0	18305.0	1943.1	 25
239	  0	279.0	74.4	 25
240	  0	18164.0	1859.1	 25
241	  0	309.0	61.9	 25
242	  0	18432.0	2147.1	 25
243	  0	272.0	51.5	 25
244	  0	17887.0	1940.7	 25
245	  0	281.0	38.3	 25
246	  0	18595.0	1253.3	 25
247	  0	258.0	48.8	 25
248	  0	18369.0	1154.8	 25
249	  0	253.0	50.2	 25
250	  0	17910.0	1096.3	 25
251	  0	277.0	58.9	 25
252	  0	18417.0	1531.0	 25
253	  0	267.0	55.2	 25
254	  0	18420.0	1708.7	 25
255	  0	269.0	69.1	 25
256	  0	18175.0	1742.3	 25
257	  0	242.0	59.8	 25
258	  0	18567.0	2470.7	 25
259	  0	287.0	85.3	 25
260	  0	18248.0	2164.8	 25
261	  0	291.0	94.5	 25
262	  0	18188.0	2100.5	 25
263	  0	275.0	101.5	 25
264	  0	18132.0	2255.6	 25
265	  0	268.0	74.9	 25
266	  0	18102.0	2615.0	 25
267	  0	200.0	72.4	 25
268	  0	18284.0	2191.0	 25
269	  0	227.0	46.7	 25
270	  0	17982.0	1605.4	 25
271	  0	243.0	54.0	 25
272	  0	18180.0	1483.3	 25
273	  0	283.0	49.2	 25
274	  0	18333.0	1369.7	 25
275	  0	279.0	44.9	 25
276	  0	18183.0	1401.8	 25
277	  0	268.0	41.9	 25
278	  0	18322.0	1653.8	 25
279	  0	257.0	58.4	 25
280	  0	18432.0	1799.4	 25
281	  0	277.0	61.2	 25
282	  0	18704.0	2125.3	 25
283	  0	239.0	74.6	 25
284	  0	18346.0	2558.7	 25
285	  0	271.0	71.1	 25
286	  0	18515.0	2405.1	 25
287	  0	281.0	98.1	 25
288	  0	18294.0	2049.8	 25
289	  0	260.0	98.8	 25
290	  0	18301.0	2085.8	 25
291	  0	227.0	114.3	 25
292	  0	19667.0	3433.5	 25
293	  0	315.0	71.7	 25
294	  0	18287.0	1526.5	 25
295	  0	288.0	56.4	 25
296	  0	18321.0	1561.1	 25
297	  0	277.0	65.9	 25
298	  0	18215.0	1169.0	 25
299	  0	286.0	68.2	 25
300	  0	18324.0	1297.0	 25
301	  0	289.0	49.4	 25
302	  0	18565.0	1632.6	 25
303	  0	270.0	43.4	 25
304	  0	18263.0	1859.4	 25
305	  0	261.0	49.4	 25
306	  0	18446.0	2318.1	 25
307	  0	290.0	67.2	 25
308	  0	18410.0	2569.1	 25
309	  0	305.0	50.1	 25
310	  0	18347.0	1835.9	 25
311	  0	270.0	67.2	 25
312	  0	17958.0	1923.3	 25
313	  0	331.0	108.1	 25
314	  0	18463.0	2205.9	 25
315	  0	254.0	91.0	 25
316	  0	18276.0	1950.1	 25
317	  0	241.0	88.9	 25
318	  0	18592.0	1987.9	 25
319	  0	239.0	75.3	 25
320	  0	18125.0	1737.3	 25
321	  0	265.0	77.4	 25
322	  0	18368.0	1671.7	 25
323	  0	305.0	75.9	 25
324	  0	18701.0	1657.3	 25
325	  0	225.0	47.1	 25
326	  0	18384.0	1609.9	 25
327	  0	237.0	38.2	 25
328	  0	18356.0	1970.5	 25
329	  0	310.0	43.6	 25
330	  0	18053.0	2070.9	 25
331	  0	253.0	63.3	 25
332	  0	18517.0	2373.1	 25
333	  0	252.0	50.3	 25
334	  0	18377.0	2078.0	 25
335	  0	217.0	44.0	 25
336	  0	18351.0	2204.5	 25
337	  0	252.0	65.9	 25
338	  0	17978.0	2126.6	 25
339	  0	280.0	62.2	 25
340	  0	18535.0	1790.1	 25
341	  0	230.0	63.5	 25
342	  0	18194.0	2317.4	 25
343	  0	252.0	81.5	 25
344	  0	18272.0	2007.7	 25
345	  0	264.0	67.3	 25
346	  0	18496.0	1618.6	 25
347	  0	247.0	62.9	 25
348	  0	18300.0	1706.2	 25
349	  0	256.0	55.4	 25
350	  0	18140.0	1764.3	 25
351	  0	233.0	65.4	 25
352	  0	18500.0	2068.5	 25
353	  0	278.0	54.4	 25
354	  0	18322.0	2288.0	 25
355	  0	283.0	45.9	 25
356	  0	18213.0	2220.1	 25
357	  0	207.0	39.4	 25
358	  0	18615.0	1809.5	 25
359	  0	256.0	49.6	 25
360	  0	18321.0	1723.8	 25
361	  0	297.0	58.5	 25
362	  0	18153.0	1469.2	 25
363	  0	259.0	54.1	 25
364	  0	18305.0	2046.8	 25
365	  0	254.0	92.0	 25
366	  0	18099.0	2270.6	 25
367	  0	256.0	112.0	 25
368	  0	18413.0	2261.2	 25
369	  0	272.0	106.9	 25
370	  0	18576.0	1888.6	 25
371	  0	255.0	89.5	 25
372	  0	18336.0	2129.6	 25
373	  0	263.0	61.5	 25
374	  0	18122.0	1898.4	 25
375	  0	229.0	47.7	 25
376	  0	18385.0	2026.0	 25
377	  0	239.0	44.4	 25
378	  0	18152.0	1705.5	 25
379	  0	281.0	48.2	 25
